PUBLICATION,EXTRACT_DATE,ORG_TYPE,ORG_CODE,ONS_CODE,SEX,AGE,NUMBER_OF_PATIENTS
GP_PRAC_PAT_LIST,01MAR2020,Comm Region,Y56,E40000003,FEMALE,3,59707
GP_PRAC_PAT_LIST,01MAR2020,Comm Region,Y56,E40000003,FEMALE,30,111291
GP_PRAC_PAT_LIST,01MAR2020,Comm Region,Y56,E40000003,FEMALE,31,111085
GP_PRAC_PAT_LIST,01MAR2020,Comm Region,Y56,E40000003,FEMALE,32,107404
GP_PRAC_PAT_LIST,01MAR2020,Comm Region,Y56,E40000003,FEMALE,33,103529
GP_PRAC_PAT_LIST,01MAR2020,Comm Region,Y56,E40000003,FEMALE,34,102354
GP_PRAC_PAT_LIST,01MAR2020,Comm Region,Y56,E40000003,FEMALE,35,97943
GP_PRAC_PAT_LIST,01MAR2020,Comm Region,Y56,E40000003,FEMALE,36,94300
GP_PRAC_PAT_LIST,01MAR2020,Comm Region,Y56,E40000003,FEMALE,37,92109
GP_PRAC_PAT_LIST,01MAR2020,Comm Region,Y56,E40000003,FEMALE,38,89880
GP_PRAC_PAT_LIST,01MAR2020,Comm Region,Y56,E40000003,FEMALE,39,87956
GP_PRAC_PAT_LIST,01MAR2020,Comm Region,Y56,E40000003,FEMALE,4,59192
GP_PRAC_PAT_LIST,01MAR2020,Comm Region,Y56,E40000003,FEMALE,40,84615
GP_PRAC_PAT_LIST,01MAR2020,Comm Region,Y56,E40000003,FEMALE,41,79116
GP_PRAC_PAT_LIST,01MAR2020,Comm Region,Y56,E40000003,FEMALE,42,74140
GP_PRAC_PAT_LIST,01MAR2020,Comm Region,Y56,E40000003,FEMALE,43,72144
GP_PRAC_PAT_LIST,01MAR2020,Comm Region,Y56,E40000003,FEMALE,44,68928
GP_PRAC_PAT_LIST,01MAR2020,Comm Region,Y56,E40000003,FEMALE,45,68011
GP_PRAC_PAT_LIST,01MAR2020,Comm Region,Y56,E40000003,FEMALE,46,65140
GP_PRAC_PAT_LIST,01MAR2020,Comm Region,Y56,E40000003,FEMALE,47,65077
GP_PRAC_PAT_LIST,01MAR2020,Comm Region,Y56,E40000003,FEMALE,48,63798
GP_PRAC_PAT_LIST,01MAR2020,Comm Region,Y56,E40000003,FEMALE,49,64483
GP_PRAC_PAT_LIST,01MAR2020,Comm Region,Y56,E40000003,FEMALE,5,58099
GP_PRAC_PAT_LIST,01MAR2020,Comm Region,Y56,E40000003,FEMALE,50,62588
GP_PRAC_PAT_LIST,01MAR2020,Comm Region,Y56,E40000003,FEMALE,51,62795
GP_PRAC_PAT_LIST,01MAR2020,Comm Region,Y56,E40000003,FEMALE,52,61227
GP_PRAC_PAT_LIST,01MAR2020,Comm Region,Y56,E40000003,FEMALE,53,60132
GP_PRAC_PAT_LIST,01MAR2020,Comm Region,Y56,E40000003,FEMALE,54,60220
GP_PRAC_PAT_LIST,01MAR2020,Comm Region,Y56,E40000003,FEMALE,55,59002
GP_PRAC_PAT_LIST,01MAR2020,Comm Region,Y56,E40000003,FEMALE,56,57206
GP_PRAC_PAT_LIST,01MAR2020,Comm Region,Y56,E40000003,FEMALE,57,54362
GP_PRAC_PAT_LIST,01MAR2020,Comm Region,Y56,E40000003,FEMALE,58,51082
GP_PRAC_PAT_LIST,01MAR2020,Comm Region,Y56,E40000003,FEMALE,59,50067
GP_PRAC_PAT_LIST,01MAR2020,Comm Region,Y56,E40000003,FEMALE,6,58089
GP_PRAC_PAT_LIST,01MAR2020,Comm Region,Y56,E40000003,FEMALE,60,47005
GP_PRAC_PAT_LIST,01MAR2020,Comm Region,Y56,E40000003,FEMALE,61,45033
GP_PRAC_PAT_LIST,01MAR2020,Comm Region,Y56,E40000003,FEMALE,62,42468
GP_PRAC_PAT_LIST,01MAR2020,Comm Region,Y56,E40000003,FEMALE,63,40653
GP_PRAC_PAT_LIST,01MAR2020,Comm Region,Y56,E40000003,FEMALE,64,38274
GP_PRAC_PAT_LIST,01MAR2020,Comm Region,Y56,E40000003,FEMALE,65,36851
GP_PRAC_PAT_LIST,01MAR2020,Comm Region,Y56,E40000003,FEMALE,66,35010
GP_PRAC_PAT_LIST,01MAR2020,Comm Region,Y56,E40000003,FEMALE,67,34077
GP_PRAC_PAT_LIST,01MAR2020,Comm Region,Y56,E40000003,FEMALE,68,32185
GP_PRAC_PAT_LIST,01MAR2020,Comm Region,Y56,E40000003,FEMALE,69,32126
GP_PRAC_PAT_LIST,01MAR2020,Comm Region,Y56,E40000003,FEMALE,7,60337
GP_PRAC_PAT_LIST,01MAR2020,Comm Region,Y56,E40000003,FEMALE,70,31761
GP_PRAC_PAT_LIST,01MAR2020,Comm Region,Y56,E40000003,FEMALE,71,31243
GP_PRAC_PAT_LIST,01MAR2020,Comm Region,Y56,E40000003,FEMALE,72,32254
GP_PRAC_PAT_LIST,01MAR2020,Comm Region,Y56,E40000003,FEMALE,73,31164
GP_PRAC_PAT_LIST,01MAR2020,Comm Region,Y56,E40000003,FEMALE,74,25301
GP_PRAC_PAT_LIST,01MAR2020,Comm Region,Y56,E40000003,FEMALE,75,25353
GP_PRAC_PAT_LIST,01MAR2020,Comm Region,Y56,E40000003,FEMALE,76,23516
GP_PRAC_PAT_LIST,01MAR2020,Comm Region,Y56,E40000003,FEMALE,77,22800
GP_PRAC_PAT_LIST,01MAR2020,Comm Region,Y56,E40000003,FEMALE,78,19667
GP_PRAC_PAT_LIST,01MAR2020,Comm Region,Y56,E40000003,FEMALE,79,19390
GP_PRAC_PAT_LIST,01MAR2020,Comm Region,Y56,E40000003,FEMALE,8,60497
GP_PRAC_PAT_LIST,01MAR2020,Comm Region,Y56,E40000003,FEMALE,80,19795
GP_PRAC_PAT_LIST,01MAR2020,Comm Region,Y56,E40000003,FEMALE,81,18910
GP_PRAC_PAT_LIST,01MAR2020,Comm Region,Y56,E40000003,FEMALE,82,17474
GP_PRAC_PAT_LIST,01MAR2020,Comm Region,Y56,E40000003,FEMALE,83,16307
GP_PRAC_PAT_LIST,01MAR2020,Comm Region,Y56,E40000003,FEMALE,84,14989
GP_PRAC_PAT_LIST,01MAR2020,Comm Region,Y56,E40000003,FEMALE,85,13677
GP_PRAC_PAT_LIST,01MAR2020,Comm Region,Y56,E40000003,FEMALE,86,11876
GP_PRAC_PAT_LIST,01MAR2020,Comm Region,Y56,E40000003,FEMALE,87,11089
GP_PRAC_PAT_LIST,01MAR2020,Comm Region,Y56,E40000003,FEMALE,88,10009
GP_PRAC_PAT_LIST,01MAR2020,Comm Region,Y56,E40000003,FEMALE,89,8976
GP_PRAC_PAT_LIST,01MAR2020,Comm Region,Y56,E40000003,FEMALE,9,59848
GP_PRAC_PAT_LIST,01MAR2020,Comm Region,Y56,E40000003,FEMALE,90,7776
GP_PRAC_PAT_LIST,01MAR2020,Comm Region,Y56,E40000003,FEMALE,91,6546
GP_PRAC_PAT_LIST,01MAR2020,Comm Region,Y56,E40000003,FEMALE,92,5304
GP_PRAC_PAT_LIST,01MAR2020,Comm Region,Y56,E40000003,FEMALE,93,4179
GP_PRAC_PAT_LIST,01MAR2020,Comm Region,Y56,E40000003,FEMALE,94,3444
GP_PRAC_PAT_LIST,01MAR2020,Comm Region,Y56,E40000003,FEMALE,95+,9632
GP_PRAC_PAT_LIST,01MAR2020,Comm Region,Y56,E40000003,MALE,0,54990
GP_PRAC_PAT_LIST,01MAR2020,Comm Region,Y56,E40000003,MALE,1,60586
GP_PRAC_PAT_LIST,01MAR2020,Comm Region,Y56,E40000003,MALE,10,62327
GP_PRAC_PAT_LIST,01MAR2020,Comm Region,Y56,E40000003,MALE,11,60800
GP_PRAC_PAT_LIST,01MAR2020,Comm Region,Y56,E40000003,MALE,12,60551
GP_PRAC_PAT_LIST,01MAR2020,Comm Region,Y56,E40000003,MALE,13,57919
GP_PRAC_PAT_LIST,01MAR2020,Comm Region,Y56,E40000003,MALE,14,55468
GP_PRAC_PAT_LIST,01MAR2020,Comm Region,Y56,E40000003,MALE,15,54925
GP_PRAC_PAT_LIST,01MAR2020,Comm Region,Y56,E40000003,MALE,16,53723
GP_PRAC_PAT_LIST,01MAR2020,Comm Region,Y56,E40000003,MALE,17,52017
GP_PRAC_PAT_LIST,01MAR2020,Comm Region,Y56,E40000003,MALE,18,51434
GP_PRAC_PAT_LIST,01MAR2020,Comm Region,Y56,E40000003,MALE,19,52044
GP_PRAC_PAT_LIST,01MAR2020,Comm Region,Y56,E40000003,MALE,2,61801
GP_PRAC_PAT_LIST,01MAR2020,Comm Region,Y56,E40000003,MALE,20,53670
GP_PRAC_PAT_LIST,01MAR2020,Comm Region,Y56,E40000003,MALE,21,56108
GP_PRAC_PAT_LIST,01MAR2020,Comm Region,Y56,E40000003,MALE,22,60986
GP_PRAC_PAT_LIST,01MAR2020,Comm Region,Y56,E40000003,MALE,23,67797
GP_PRAC_PAT_LIST,01MAR2020,Comm Region,Y56,E40000003,MALE,24,73811
GP_PRAC_PAT_LIST,01MAR2020,Comm Region,Y56,E40000003,MALE,25,79918
GP_PRAC_PAT_LIST,01MAR2020,Comm Region,Y56,E40000003,MALE,26,85788
GP_PRAC_PAT_LIST,01MAR2020,Comm Region,Y56,E40000003,MALE,27,90578
GP_PRAC_PAT_LIST,01MAR2020,Comm Region,Y56,E40000003,MALE,28,96029
GP_PRAC_PAT_LIST,01MAR2020,Comm Region,Y56,E40000003,MALE,29,102366
GP_PRAC_PAT_LIST,01MAR2020,Comm Region,Y56,E40000003,MALE,3,61901
GP_PRAC_PAT_LIST,01MAR2020,Comm Region,Y56,E40000003,MALE,30,105699
GP_PRAC_PAT_LIST,01MAR2020,Comm Region,Y56,E40000003,MALE,31,108265
GP_PRAC_PAT_LIST,01MAR2020,Comm Region,Y56,E40000003,MALE,32,108457
GP_PRAC_PAT_LIST,01MAR2020,Comm Region,Y56,E40000003,MALE,33,106563
GP_PRAC_PAT_LIST,01MAR2020,Comm Region,Y56,E40000003,MALE,34,106179
GP_PRAC_PAT_LIST,01MAR2020,Comm Region,Y56,E40000003,MALE,35,105451
GP_PRAC_PAT_LIST,01MAR2020,Comm Region,Y56,E40000003,MALE,36,103472
GP_PRAC_PAT_LIST,01MAR2020,Comm Region,Y56,E40000003,MALE,37,102902
GP_PRAC_PAT_LIST,01MAR2020,Comm Region,Y56,E40000003,MALE,38,100756
GP_PRAC_PAT_LIST,01MAR2020,Comm Region,Y56,E40000003,MALE,39,100054
GP_PRAC_PAT_LIST,01MAR2020,Comm Region,Y56,E40000003,MALE,4,62443
GP_PRAC_PAT_LIST,01MAR2020,Comm Region,Y56,E40000003,MALE,40,96607
GP_PRAC_PAT_LIST,01MAR2020,Comm Region,Y56,E40000003,MALE,41,92006
GP_PRAC_PAT_LIST,01MAR2020,Comm Region,Y56,E40000003,MALE,42,86410
GP_PRAC_PAT_LIST,01MAR2020,Comm Region,Y56,E40000003,MALE,43,84061
GP_PRAC_PAT_LIST,01MAR2020,Comm Region,Y56,E40000003,MALE,44,81327
GP_PRAC_PAT_LIST,01MAR2020,Comm Region,Y56,E40000003,MALE,45,79950
GP_PRAC_PAT_LIST,01MAR2020,Comm Region,Y56,E40000003,MALE,46,76219
GP_PRAC_PAT_LIST,01MAR2020,Comm Region,Y56,E40000003,MALE,47,75526
GP_PRAC_PAT_LIST,01MAR2020,Comm Region,Y56,E40000003,MALE,48,73319
GP_PRAC_PAT_LIST,01MAR2020,Comm Region,Y56,E40000003,MALE,49,73962
GP_PRAC_PAT_LIST,01MAR2020,Comm Region,Y56,E40000003,MALE,5,60973
GP_PRAC_PAT_LIST,01MAR2020,Comm Region,Y56,E40000003,MALE,50,71196
GP_PRAC_PAT_LIST,01MAR2020,Comm Region,Y56,E40000003,MALE,51,70057
GP_PRAC_PAT_LIST,01MAR2020,Comm Region,Y56,E40000003,MALE,52,68735
GP_PRAC_PAT_LIST,01MAR2020,Comm Region,Y56,E40000003,MALE,53,66400
GP_PRAC_PAT_LIST,01MAR2020,Comm Region,Y56,E40000003,MALE,54,66146
GP_PRAC_PAT_LIST,01MAR2020,Comm Region,Y56,E40000003,MALE,55,64400
GP_PRAC_PAT_LIST,01MAR2020,Comm Region,Y56,E40000003,MALE,56,61481
GP_PRAC_PAT_LIST,01MAR2020,Comm Region,Y56,E40000003,MALE,57,58503
GP_PRAC_PAT_LIST,01MAR2020,Comm Region,Y56,E40000003,MALE,58,54650
GP_PRAC_PAT_LIST,01MAR2020,Comm Region,Y56,E40000003,MALE,59,53660
GP_PRAC_PAT_LIST,01MAR2020,Comm Region,Y56,E40000003,MALE,6,60169
GP_PRAC_PAT_LIST,01MAR2020,Comm Region,Y56,E40000003,MALE,60,49770
GP_PRAC_PAT_LIST,01MAR2020,Comm Region,Y56,E40000003,MALE,61,47172
GP_PRAC_PAT_LIST,01MAR2020,Comm Region,Y56,E40000003,MALE,62,43945
GP_PRAC_PAT_LIST,01MAR2020,Comm Region,Y56,E40000003,MALE,63,41492
GP_PRAC_PAT_LIST,01MAR2020,Comm Region,Y56,E40000003,MALE,64,38637
GP_PRAC_PAT_LIST,01MAR2020,Comm Region,Y56,E40000003,MALE,65,35982
GP_PRAC_PAT_LIST,01MAR2020,Comm Region,Y56,E40000003,MALE,66,33377
GP_PRAC_PAT_LIST,01MAR2020,Comm Region,Y56,E40000003,MALE,67,31802
GP_PRAC_PAT_LIST,01MAR2020,Comm Region,Y56,E40000003,MALE,68,30185
GP_PRAC_PAT_LIST,01MAR2020,Comm Region,Y56,E40000003,MALE,69,29632
GP_PRAC_PAT_LIST,01MAR2020,Comm Region,Y56,E40000003,MALE,7,62873
GP_PRAC_PAT_LIST,01MAR2020,Comm Region,Y56,E40000003,MALE,70,28740
GP_PRAC_PAT_LIST,01MAR2020,Comm Region,Y56,E40000003,MALE,71,27816
GP_PRAC_PAT_LIST,01MAR2020,Comm Region,Y56,E40000003,MALE,72,28693
GP_PRAC_PAT_LIST,01MAR2020,Comm Region,Y56,E40000003,MALE,73,27484
GP_PRAC_PAT_LIST,01MAR2020,Comm Region,Y56,E40000003,MALE,74,21340
GP_PRAC_PAT_LIST,01MAR2020,Comm Region,Y56,E40000003,MALE,75,21520
GP_PRAC_PAT_LIST,01MAR2020,Comm Region,Y56,E40000003,MALE,76,19460
GP_PRAC_PAT_LIST,01MAR2020,Comm Region,Y56,E40000003,MALE,77,18298
GP_PRAC_PAT_LIST,01MAR2020,Comm Region,Y56,E40000003,MALE,78,15380
GP_PRAC_PAT_LIST,01MAR2020,Comm Region,Y56,E40000003,MALE,79,15430
GP_PRAC_PAT_LIST,01MAR2020,Comm Region,Y56,E40000003,MALE,8,62861
GP_PRAC_PAT_LIST,01MAR2020,Comm Region,Y56,E40000003,MALE,80,15534
GP_PRAC_PAT_LIST,01MAR2020,Comm Region,Y56,E40000003,MALE,81,14619
GP_PRAC_PAT_LIST,01MAR2020,Comm Region,Y56,E40000003,MALE,82,13201
GP_PRAC_PAT_LIST,01MAR2020,Comm Region,Y56,E40000003,MALE,83,12275
GP_PRAC_PAT_LIST,01MAR2020,Comm Region,Y56,E40000003,MALE,84,10998
GP_PRAC_PAT_LIST,01MAR2020,Comm Region,Y56,E40000003,MALE,85,9714
GP_PRAC_PAT_LIST,01MAR2020,Comm Region,Y56,E40000003,MALE,86,8533
GP_PRAC_PAT_LIST,01MAR2020,Comm Region,Y56,E40000003,MALE,87,7508
GP_PRAC_PAT_LIST,01MAR2020,Comm Region,Y56,E40000003,MALE,88,6362
GP_PRAC_PAT_LIST,01MAR2020,Comm Region,Y56,E40000003,MALE,89,5652
GP_PRAC_PAT_LIST,01MAR2020,Comm Region,Y56,E40000003,MALE,9,63367
GP_PRAC_PAT_LIST,01MAR2020,Comm Region,Y56,E40000003,MALE,90,4506
GP_PRAC_PAT_LIST,01MAR2020,Comm Region,Y56,E40000003,MALE,91,3498
GP_PRAC_PAT_LIST,01MAR2020,Comm Region,Y56,E40000003,MALE,92,2659
GP_PRAC_PAT_LIST,01MAR2020,Comm Region,Y56,E40000003,MALE,93,2129
GP_PRAC_PAT_LIST,01MAR2020,Comm Region,Y56,E40000003,MALE,94,1530
GP_PRAC_PAT_LIST,01MAR2020,Comm Region,Y56,E40000003,MALE,95+,3602
GP_PRAC_PAT_LIST,01MAR2020,Comm Region,Y58,E40000006,FEMALE,0,23111
GP_PRAC_PAT_LIST,01MAR2020,Comm Region,Y58,E40000006,FEMALE,1,26473
GP_PRAC_PAT_LIST,01MAR2020,Comm Region,Y58,E40000006,FEMALE,10,32465
GP_PRAC_PAT_LIST,01MAR2020,Comm Region,Y58,E40000006,FEMALE,11,32137
GP_PRAC_PAT_LIST,01MAR2020,Comm Region,Y58,E40000006,FEMALE,12,31754
GP_PRAC_PAT_LIST,01MAR2020,Comm Region,Y58,E40000006,FEMALE,13,31607
GP_PRAC_PAT_LIST,01MAR2020,Comm Region,Y58,E40000006,FEMALE,14,30474
GP_PRAC_PAT_LIST,01MAR2020,Comm Region,Y58,E40000006,FEMALE,15,30612
GP_PRAC_PAT_LIST,01MAR2020,Comm Region,Y58,E40000006,FEMALE,16,30545
GP_PRAC_PAT_LIST,01MAR2020,Comm Region,Y58,E40000006,FEMALE,17,29811
GP_PRAC_PAT_LIST,01MAR2020,Comm Region,Y58,E40000006,FEMALE,18,30880
GP_PRAC_PAT_LIST,01MAR2020,Comm Region,Y58,E40000006,FEMALE,19,33897
GP_PRAC_PAT_LIST,01MAR2020,Comm Region,Y58,E40000006,FEMALE,2,28026
GP_PRAC_PAT_LIST,01MAR2020,Comm Region,Y58,E40000006,FEMALE,20,35286
GP_PRAC_PAT_LIST,01MAR2020,Comm Region,Y58,E40000006,FEMALE,21,36311
GP_PRAC_PAT_LIST,01MAR2020,Comm Region,Y58,E40000006,FEMALE,22,36715
GP_PRAC_PAT_LIST,01MAR2020,Comm Region,Y58,E40000006,FEMALE,23,36281
GP_PRAC_PAT_LIST,01MAR2020,Comm Region,Y58,E40000006,FEMALE,24,36507
GP_PRAC_PAT_LIST,01MAR2020,Comm Region,Y58,E40000006,FEMALE,25,35776
GP_PRAC_PAT_LIST,01MAR2020,Comm Region,Y58,E40000006,FEMALE,26,35410
GP_PRAC_PAT_LIST,01MAR2020,Comm Region,Y58,E40000006,FEMALE,27,36452
GP_PRAC_PAT_LIST,01MAR2020,Comm Region,Y58,E40000006,FEMALE,28,37035
GP_PRAC_PAT_LIST,01MAR2020,Comm Region,Y58,E40000006,FEMALE,29,38164
GP_PRAC_PAT_LIST,01MAR2020,Comm Region,Y58,E40000006,FEMALE,3,28814
GP_PRAC_PAT_LIST,01MAR2020,Comm Region,Y58,E40000006,FEMALE,30,37911
GP_PRAC_PAT_LIST,01MAR2020,Comm Region,Y58,E40000006,FEMALE,31,38279
GP_PRAC_PAT_LIST,01MAR2020,Comm Region,Y58,E40000006,FEMALE,32,38631
GP_PRAC_PAT_LIST,01MAR2020,Comm Region,Y58,E40000006,FEMALE,33,37605
GP_PRAC_PAT_LIST,01MAR2020,Comm Region,Y58,E40000006,FEMALE,34,37103
GP_PRAC_PAT_LIST,01MAR2020,Comm Region,Y58,E40000006,FEMALE,35,37089
GP_PRAC_PAT_LIST,01MAR2020,Comm Region,Y58,E40000006,FEMALE,36,36398
GP_PRAC_PAT_LIST,01MAR2020,Comm Region,Y58,E40000006,FEMALE,37,36118
GP_PRAC_PAT_LIST,01MAR2020,Comm Region,Y58,E40000006,FEMALE,38,36412
GP_PRAC_PAT_LIST,01MAR2020,Comm Region,Y58,E40000006,FEMALE,39,36923
GP_PRAC_PAT_LIST,01MAR2020,Comm Region,Y58,E40000006,FEMALE,4,29947
GP_PRAC_PAT_LIST,01MAR2020,Comm Region,Y58,E40000006,FEMALE,40,36134
GP_PRAC_PAT_LIST,01MAR2020,Comm Region,Y58,E40000006,FEMALE,41,34191
GP_PRAC_PAT_LIST,01MAR2020,Comm Region,Y58,E40000006,FEMALE,42,32425
GP_PRAC_PAT_LIST,01MAR2020,Comm Region,Y58,E40000006,FEMALE,43,32661
GP_PRAC_PAT_LIST,01MAR2020,Comm Region,Y58,E40000006,FEMALE,44,33277
GP_PRAC_PAT_LIST,01MAR2020,Comm Region,Y58,E40000006,FEMALE,45,34987
GP_PRAC_PAT_LIST,01MAR2020,Comm Region,Y58,E40000006,FEMALE,46,35842
GP_PRAC_PAT_LIST,01MAR2020,Comm Region,Y58,E40000006,FEMALE,47,37828
GP_PRAC_PAT_LIST,01MAR2020,Comm Region,Y58,E40000006,FEMALE,48,39984
GP_PRAC_PAT_LIST,01MAR2020,Comm Region,Y58,E40000006,FEMALE,49,40245
GP_PRAC_PAT_LIST,01MAR2020,Comm Region,Y58,E40000006,FEMALE,5,30613
GP_PRAC_PAT_LIST,01MAR2020,Comm Region,Y58,E40000006,FEMALE,50,40301
GP_PRAC_PAT_LIST,01MAR2020,Comm Region,Y58,E40000006,FEMALE,51,40689
GP_PRAC_PAT_LIST,01MAR2020,Comm Region,Y58,E40000006,FEMALE,52,41224
GP_PRAC_PAT_LIST,01MAR2020,Comm Region,Y58,E40000006,FEMALE,53,42169
GP_PRAC_PAT_LIST,01MAR2020,Comm Region,Y58,E40000006,FEMALE,54,42980
GP_PRAC_PAT_LIST,01MAR2020,Comm Region,Y58,E40000006,FEMALE,55,42853
GP_PRAC_PAT_LIST,01MAR2020,Comm Region,Y58,E40000006,FEMALE,56,42388
GP_PRAC_PAT_LIST,01MAR2020,Comm Region,Y58,E40000006,FEMALE,57,41499
GP_PRAC_PAT_LIST,01MAR2020,Comm Region,Y58,E40000006,FEMALE,58,39931
GP_PRAC_PAT_LIST,01MAR2020,Comm Region,Y58,E40000006,FEMALE,59,39340
GP_PRAC_PAT_LIST,01MAR2020,Comm Region,Y58,E40000006,FEMALE,6,30711
GP_PRAC_PAT_LIST,01MAR2020,Comm Region,Y58,E40000006,FEMALE,60,37840
GP_PRAC_PAT_LIST,01MAR2020,Comm Region,Y58,E40000006,FEMALE,61,37414
GP_PRAC_PAT_LIST,01MAR2020,Comm Region,Y58,E40000006,FEMALE,62,36817
GP_PRAC_PAT_LIST,01MAR2020,Comm Region,Y58,E40000006,FEMALE,63,35298
GP_PRAC_PAT_LIST,01MAR2020,Comm Region,Y58,E40000006,FEMALE,64,33842
GP_PRAC_PAT_LIST,01MAR2020,Comm Region,Y58,E40000006,FEMALE,65,34018
GP_PRAC_PAT_LIST,01MAR2020,Comm Region,Y58,E40000006,FEMALE,66,34909
GP_PRAC_PAT_LIST,01MAR2020,Comm Region,Y58,E40000006,FEMALE,67,33738
GP_PRAC_PAT_LIST,01MAR2020,Comm Region,Y58,E40000006,FEMALE,68,33755
GP_PRAC_PAT_LIST,01MAR2020,Comm Region,Y58,E40000006,FEMALE,69,33495
GP_PRAC_PAT_LIST,01MAR2020,Comm Region,Y58,E40000006,FEMALE,7,31943
GP_PRAC_PAT_LIST,01MAR2020,Comm Region,Y58,E40000006,FEMALE,70,34932
GP_PRAC_PAT_LIST,01MAR2020,Comm Region,Y58,E40000006,FEMALE,71,35813
GP_PRAC_PAT_LIST,01MAR2020,Comm Region,Y58,E40000006,FEMALE,72,39265
GP_PRAC_PAT_LIST,01MAR2020,Comm Region,Y58,E40000006,FEMALE,73,38188
GP_PRAC_PAT_LIST,01MAR2020,Comm Region,Y58,E40000006,FEMALE,74,29465
GP_PRAC_PAT_LIST,01MAR2020,Comm Region,Y58,E40000006,FEMALE,75,31677
GP_PRAC_PAT_LIST,01MAR2020,Comm Region,Y58,E40000006,FEMALE,76,28648
GP_PRAC_PAT_LIST,01MAR2020,Comm Region,Y58,E40000006,FEMALE,77,26697
GP_PRAC_PAT_LIST,01MAR2020,Comm Region,Y58,E40000006,FEMALE,78,22759
GP_PRAC_PAT_LIST,01MAR2020,Comm Region,Y58,E40000006,FEMALE,79,21371
GP_PRAC_PAT_LIST,01MAR2020,Comm Region,Y58,E40000006,FEMALE,8,32654
GP_PRAC_PAT_LIST,01MAR2020,Comm Region,Y58,E40000006,FEMALE,80,21623
GP_PRAC_PAT_LIST,01MAR2020,Comm Region,Y58,E40000006,FEMALE,81,20592
GP_PRAC_PAT_LIST,01MAR2020,Comm Region,Y58,E40000006,FEMALE,82,19242
GP_PRAC_PAT_LIST,01MAR2020,Comm Region,Y58,E40000006,FEMALE,83,18111
GP_PRAC_PAT_LIST,01MAR2020,Comm Region,Y58,E40000006,FEMALE,84,16542
GP_PRAC_PAT_LIST,01MAR2020,Comm Region,Y58,E40000006,FEMALE,85,15486
GP_PRAC_PAT_LIST,01MAR2020,Comm Region,Y58,E40000006,FEMALE,86,13901
GP_PRAC_PAT_LIST,01MAR2020,Comm Region,Y58,E40000006,FEMALE,87,13171
GP_PRAC_PAT_LIST,01MAR2020,Comm Region,Y58,E40000006,FEMALE,88,11929
GP_PRAC_PAT_LIST,01MAR2020,Comm Region,Y58,E40000006,FEMALE,89,10897
GP_PRAC_PAT_LIST,01MAR2020,Comm Region,Y58,E40000006,FEMALE,9,32601
GP_PRAC_PAT_LIST,01MAR2020,Comm Region,Y58,E40000006,FEMALE,90,9312
GP_PRAC_PAT_LIST,01MAR2020,Comm Region,Y58,E40000006,FEMALE,91,7868
GP_PRAC_PAT_LIST,01MAR2020,Comm Region,Y58,E40000006,FEMALE,92,6539
GP_PRAC_PAT_LIST,01MAR2020,Comm Region,Y58,E40000006,FEMALE,93,5513
